Duplicate_Type,Duplicate_Value,Book_ID,Row_Number,Title,Author,Publisher,Publication_Year,ISBN
ISBN,978-0300151633,1395,1373,Backstage Pass: Rock & Roll Photography (Portland ,"O'Brien, Thomas Andrew Denenberg and Glenn",Yale University Press,2009,978-0300151633
ISBN,978-0300151633,1396,1374,Backstage Pass: Rock & Roll Photography (Portland ,"O'Brien, Thomas Andrew Denenberg and Glenn",Yale University Press,2009,978-0300151633
ISBN,978-1584230007,1407,1385,Fucked Up + Photocopied: instant art of the punk r,"Turcotte, Bryan Ray",Gingko Press,1999,978-1584230007
ISBN,978-1584230007,1408,1386,Fucked Up + Photocopied: instant art of the punk r,"Turcotte, Bryan Ray",Gingko Press,2000,978-1584230007
ISBN,9781597111300,833,819,Invisible: Covert Operations and Classified Landsc,"Paglan, Trevor",Aperture,2010,9781597111300
ISBN,9781597111300,865,851,Choli Cholie,"Pfeiffer, Walter",RVB Books,,9781597111300
ISBN,9782940524020,613,603,KEIM,"Lambert, Matt",,2015,9782940524020
ISBN,9782940524020,656,645,New Stationary Department,"MacKillop, Sara",Motto,2013,9782940524020
ISBN,9782940524020,1294,1273,Vanity,"Young, Coco",Bemojake,2014,9782940524020
ISBN,9783037645574,741,730,Laying the Ghost,"Melgaard, Bjarne",Gallery Rod Bianco,2012,9783037645574
ISBN,9783037645574,1226,1206,A Black Hole Is Everything a Star Longs to Be,"Walker, Kara",JRP|Editions,2021,9783037645574
ISBN,9783944669236,66,67,Transformations,"Attia, Kader",Spector Books,2014,9783944669236
ISBN,9783944669236,558,549,Transformations,"Kader Attia, Kader",Spectormag GbR,2014,9783944669236
ISBN,9789464460070,739,728,Bottom Ash Observatory,"Meindertsma, Christian",,,9789464460070
ISBN,9789464460070,1224,1204,Book of Hours,"Walker, Kara",Roma,2022,9789464460070
ISBN,9789491843426,632,622,Imperial Courts,"Lixenberg, Dana",,,9789491843426
ISBN,9789491843426,1114,1098,Hexamilies (Mont-Voisin),"Suter, Batia",,,9789491843426
ID,1440,1440,1418,Lorna Simpson,"Enwezor, Okwui",Abrams,2006,9781885449320
ID,1440,1440,1419,Folksongs,"Prince, Richard",Fulton Ryder,2025,9798985236859
