id,row_number,title,author,isbn,issues
1,2,Documenting Science,"Abbott, Berenice",9783869304311,incomplete_dimensions
2,3,American Photographer,"Abbott, Berenice",,missing_cover_image;incomplete_dimensions
3,4,Berenice Abbott: Changing New York,"Abbott, Berenice",9781565845565,missing_cover_image
4,5,Exhibition catalogs (Toronto. Art Gallery of Ontario / Toronto. Ryerson Image Centr),"Abbott, Berenice",9782754106078,missing_cover_image
7,8,Anaesthesia,"Abenavoli, Valentina",978-6000021801,missing_cover_image
9,10,Rita Ackermann & Andro Wekua: Chapter 4,"Ackerman, Rita",9784908526428,missing_cover_image;incomplete_dimensions
10,11,Sketchbook II (A Midsummer Night's Dream),"Ackerman, Rita",,missing_cover_image;incomplete_dimensions
11,12,Sketchbook V (Twitchy),"Ackerman, Rita",,missing_cover_image;incomplete_dimensions
14,15,Photographic Treatment Book 1,"Aëgerter, Laurence",9781911306269,incomplete_dimensions
15,16,Photographic Treatment Book 2,"Aëgerter, Laurence",9781911306276,incomplete_dimensions
16,17,Photographic Treatment Book 3,"Aëgerter, Laurence",9781911306283,incomplete_dimensions
17,18,Photographic Treatment Book 4,"Aëgerter, Laurence",9781911306290,incomplete_dimensions
18,19,Photographic Treatment Book 5,"Aëgerter, Laurence",9781911306306,incomplete_dimensions
19,20,Dreaming is Heavy Metal,"Ahlbom, Grace",,missing_cover_image;incomplete_dimensions
20,21,CDMX,"Ahlbom, Grace",,missing_cover_image;incomplete_dimensions
22,23,Hello Future,"Al Qasimi, Farah",,missing_cover_image;incomplete_dimensions
23,24,"Arrival, The Third Line, Dubai","Al Qasimi, Farah",,missing_cover_image
24,25,General View,"Albdorf, Thomas",9788894895070,missing_cover_image;incomplete_dimensions
25,26,Formulation: Articulation,"Albers, Josef",9780500238288,missing_cover_image
26,27,One black & white and nineteen colour photographs,"Aldridge, Miles",9789071848193,missing_cover_image
27,28,Please return Polaroid,"Aldridge, Miles",9783958297487,incomplete_dimensions
28,29,515-05,"Alex, GD",,incomplete_dimensions
31,32,Ghada Amer: Painting in Revolt - by Susan Thompson,"Amer, Ghada",9782370741493,missing_cover_image
32,33,Christopher Anderson -: SON,"Anderson, Christopher",9783868283907,missing_cover_image
33,34,Christopher Anderson: Stump,"Anderson, Christopher",9788415118565,missing_cover_image
34,35,Approximate Joy,"Anderson, Christopher",9780995555594,missing_cover_image;incomplete_dimensions
35,36,COP,"Anderson, Christopher",9781916410695,missing_cover_image
36,37,Bleu Blanc Rouge,"Anderson, Christopher",9783775745321,incomplete_dimensions
37,38,Disobedient Bodies,"Anderson, JW",,missing_cover_image
39,40,Swedish Girls A Tribute,"Andersson; Louise Enhorning, Nina",9789163746789,missing_cover_image
40,41,Strip,"Andrews, Kathyn",9783863356279,missing_cover_image
41,42,Black Panther Coloring Book,"Anonymous, Anonymous",,missing_cover_image
42,43,BP in B,"Anonymous, Anonymous",,missing_cover_image
44,45,Blue Period/Last Summer,"Araki, Nobuyoshi",9780996657419,missing_cover_image;incomplete_dimensions
45,46,Blue Period / Last Summer,"Araki, Nobuyoshi",,missing_cover_image
46,47,Araki by Araki,"Araki, Nobuyoshi",,missing_cover_image
49,50,Theater of Love,"Araki, Nobuyoshi",9784908526121,incomplete_dimensions
50,51,Nobuyoshi Araki: VINTAGE PRINTS,"Araki, Nobuyoshi",,missing_cover_image
51,52,Nobuyoshi Araki: Nobuyoshi Araki : Eros Diary,"Araki, Nobuyoshi",9780996725903,missing_cover_image;incomplete_dimensions
52,53,Tokyo Blues 1977,"Araki, Nobuyoshi",,missing_cover_image;incomplete_dimensions
53,54,"Araki Teller, Teller Araki","Araki, Nobuyoshi",,incomplete_dimensions
54,55,Magazine Work,"Arbus, Diane",,missing_cover_image
55,56,Diane Arbus In the Beginning Early Photographs 1956 1962,"Arbus, Diane",9781588395955,missing_cover_image
56,57,On the Street: 1980-1990,"Arbus, Amy",9781599620152,missing_cover_image
58,59,Pickpocket,"Arnold, Daniel",,missing_cover_image;incomplete_dimensions
59,60,Morena No. 2,"Aroch, Guy",,missing_cover_image;incomplete_dimensions
60,61,Medianoche,"Arocha, Rafael",9788461704668,missing_cover_image
61,62,Jeddah Diary,"Arthur, Olivia",9780956995919,missing_cover_image;incomplete_dimensions
62,63,Artificial Nature,"Deitch; Friedman, Jeffrey; Dan",,missing_cover_image
64,65,Leviathan,"Ashcom, Morgan",9783941825833,incomplete_dimensions
65,66,Monsanto: A Photographic Investigation,"Asselin, Mathieu",9783862066575,missing_cover_image
67,68,Tauba Auerbach ― S v Z,"Auerbach, Tauba",9781942884552,missing_cover_image
68,69,Auster (text),"Auster (text), Auster (text)",,missing_cover_image
69,70,An Autobiography Richard Avedon,"Averdon, Richard",,missing_cover_image
70,71,this is a raincoat like anybody else’s,"Averin, Fredrick",,missing_cover_image
71,72,Organs of a Divided Labour,"Ayer, Jeremy",,missing_cover_image
72,73,Encyclopedia of Flowers: Flower Works by Makoto Azuma photographed by Shunsuke Shiinoki,"Azuma, Makoto",9783037783139,missing_cover_image
73,74,Encyclopedia Of Flowers Part 2 - Makoto Azuma | Shunsuke Shiinoki,"Azuma, Makoto",9784861524769,missing_cover_image
74,75,Encyclopedia of Flowers III (English and Japanese Edition),"Azuma, Makoto",9784861525711,missing_cover_image
81,81,Novokuznetsk,"Bakharev, Nikolay",9780995555518,missing_cover_image;incomplete_dimensions
82,82,John Baldessari Sings LeWitt,"Baldersari, John",,missing_cover_image
83,83,Pure Beauty,"Baldersari, John",,missing_cover_image
84,84,A Print Retrospective from the Collections of Jordan D. Schnitzer and his Family Foundation,"Baldersari, John",9781935202103,incomplete_dimensions
87,87,No Joke,"Ballen, Asger Carlsen, Roger",9781907071560,missing_cover_image;incomplete_dimensions
89,89,Nevada (Signed program),"Baltz, Lewis",,missing_cover_image;incomplete_dimensions
90,90,Lewis Baltz: Rule Without Exception / Only Exceptions,"Baltz, Lewis",9783869301105,missing_cover_image
91,91,Bernard Lamarche-Vadel,"Baltz, Lewis",,missing_cover_image
92,92,At The / In Der Albertina,"Baltz, Lewis",,missing_cover_image
93,93,Lewis Baltz,"Baltz, Lewis",,missing_cover_image
94,94,"The New Industrial Parks Near Irvine, California","Baltz, Lewis",,missing_cover_image
95,95,"The Politics of Bacteria, Docile Bodies, Ronde de Nuit","Baltz, Lewis",,missing_cover_image
