MISSING IMAGE FILES - DETAILED LIST (158 total)
================================================

These files are referenced in books.csv but do not exist in src/assets/images/books/

Format: Line | ID | Author | Title | Missing Filename

Line    2 | ID 1    | Berenice Abbott                | Documenting Science            | 9783869304311.jpg
Line    6 | ID 5    | Berenice Abbott                | Paris Portraits                | 9783869303147.jpg
Line    7 | ID 6    | Masanao Abenavoli              | The Movement of Clouds around  | 9783944669601.jpg
Line    9 | ID 8    | Gertrude Abercrombie           | Gertrude Abercrombie           | 9781949172027.jpg
Line   13 | ID 12   | Rita Ackerman                  | Rita Ackermann                 | 9780847836642.jpg
Line   14 | ID 13   | Robert Adams                   | Gone?                          | 9783865219176.jpg
Line   15 | ID 14   | Laurence Aëgerter              | Photographic Treatment Book 1  | 9781911306269.jpg
Line   16 | ID 15   | Laurence Aëgerter              | Photographic Treatment Book 2  | 9781911306276.jpg
Line   17 | ID 16   | Laurence Aëgerter              | Photographic Treatment Book 3  | 9781911306283.jpg
Line   18 | ID 17   | Laurence Aëgerter              | Photographic Treatment Book 4  | 9781911306290.jpg
Line   19 | ID 18   | Laurence Aëgerter              | Photographic Treatment Book 5  | 9781911306306.jpg
Line   22 | ID 21   | Makoto Aida                    | Monument For Nothing           | 9784766118049.jpg
Line   28 | ID 27   | Miles Aldridge                 | Please return Polaroid         | 9783958297487.jpg
Line   30 | ID 29   | Merry Alpern                   | Dirty Windows                  | 9781881616580.jpg
Line   31 | ID 30   | Yoshitaka Amano                | M by Ralf Christofor           | 9783936859164.jpg
Line   37 | ID 36   | Christopher Anderson           | Bleu Blanc Rouge               | 9783775745321.jpg
Line   39 | ID 38   | Roger Andersson                | Letters From Mayhem            | 9781932698251.jpg
Line   44 | ID 43   | Lotta Antonsson                | I Am Woman                     | 9789188031402.jpg
Line   49 | ID 48   | Nobuyoshi Araki                | Monochrome Paradise            | 9784908251009.jpg
Line   50 | ID 49   | Nobuyoshi Araki                | Theater of Love                | theater-of-love-araki.jpg
Line   54 | ID 53   | Nobuyoshi Araki                | Araki Teller, Teller Araki     | araki-teller-teller-araki.jpg
Line   58 | ID 57   | Amy Arbus                      | The Fourth Wall                | 9781599620442.jpg
Line   64 | ID 63   | Liz Johnson Artur              | Liz Johnson Artur              | 9783981337013.jpg
Line   65 | ID 64   | Morgan Ashcom                  | Leviathan                      | 9783941825833.jpg
Line   67 | ID 66   | Kader Attia                    | Transformations                | 9783944669236.jpg
Line   81 | ID 80   | Julia Baier                    | Water Maters                   | 9783941825536.jpg
Line  124 | ID 123  | Lucas Blalock                  | Inside The White Cub           | 9780990644811.jpg
Line  131 | ID 130  | Martin Bogram                  | Italia Photographs from Italy  | 9789171263865.jpg
Line  272 | ID 271  | Antoine D'Agata                | Mexico                         | 9788417047177.jpg
Line  276 | ID 275  | Alex DA Corte                  | Easternsports                  | 9781942607168.jpg
Line  291 | ID 290  | Willem de Kooning              | De Kooning a Retrospective     | 9780870707971.jpg
Line  459 | ID 458  | Robert Grosvenor               | 16 Pictures                    | 9781942607748.jpg
Line  477 | ID 476  | Grit Hachmeister               | Grit                           | 9783959050012.jpg
Line  503 | ID 502  | Keith Haring                   | 31 Subway Drawings             | 9780691229973.jpg
Line  559 | ID 558  | Kader Kader Attia              | Transformations                | 9783944669236.jpg
Line  568 | ID 567  | Dagmar Keller                  | Passengers                     | 9783944669021.jpg
Line  599 | ID 598  | Paul Kooiker                   | Heaven                         | 9789072532138.jpg
Line  622 | ID 621  | Saul Leiter                    | It Don't Mean A Thing          | 9783958293290.jpg
Line  633 | ID 632  | Dana Lixenberg                 | Imperial Courts                | 9789491843426.jpg
