"Author, Last","Author, First",Title,Publisher,Date ,Size,Information; Notes ; Condition,Edition/Printrun,ISBN,"Author, Editor",Contributors,Signed/Inscribed,Designer,Summary,W3  Artist,W3 Publisher,Collection Grouping,"Subject classification, tags",Classification,BISAC classification,Dewey Decimal Classification (DDC),Location,Accession No,Price,Image
 , ,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,
Abbott,Berenice,Documenting Science,Steidl,2012,Height: 31 cm | Width: 29.5 cm,"Hardcover, 180 pages, Illustrated in tritone throughout",1st edition,978-3869304311,"Kurtz, Ron","Ron Kurtz, Julia Van Haaften, John Durant",,,"Fascination with the scientific advances that were rapidly changing the world motivated Berenice Abbott to use photography as ""the friendly interpreter of science"". Documenting Science explores this work, beginning in 1939 with Abbott's early experiments with scientific imagery, continuing with science-based commercial assignments, and culminating in 1958 with the Physical Science Study Project at MIT which illustrated a new series of physics textbooks. This spectacular body of work is arguably Abbott's most innovative and creative. Both beautiful and instructive, these images often illustrate some basic scientific principle. They are a marriage of science and art, and have fundamentally changed the way thousands of students visualize complex principles of physics. Berenice Abbott, born in Springfield, Ohio in 1898, was a dominant figure in twentieth-century American photography. Abbott moved to Paris from New York in 1921, and in 1923, after many false starts, was hired by her friend Man Ray.He was looking for an assistant who knew nothing about photography whom he could teach. Abbott learned quickly and within a year was taking her own photographs. Her first solo exhibition in 1926 was a success, and for the next 65 years Abbott mastered a wide range of subjects. Highlights of Abbott's career include the monumental project Changing New York (1935-1938), photographing rural America including US Route 1 from Maine to Florida, photographically interpreting scientific and natural phenomena, establishing the reputation of Eugène Atget, and founding the first university photography program in the United States. Steidl published the two-volume retrospective Berenice Abbott in 2008. Co-published with Commerce Graphics, New York",NA,https://steidl.de,Photography,"Science, Music, Photography, Photographers, Technology, architecture",Photography; Individual Photographers; General Monographs,,,"Hudson Street Library, NYC",,$46.00,/assets/images/covers/9783869304311.jpg
Abbott,Berenice,American Photographer,McGraw-Hill,1982,14 x 11 inch [35.6 x 28 cm],"255 pages, Hardcover, slipcase, 255 sider : illustrations. NOT accompanied by a 14 x 11 inch [35.6 x 28 cm.] gelatin silver photograph, Designer's Window, Bleeker Street, signed by the photographer beneath the image",400 Copies,ASIN-B087YW16TP,"O'Neal, Hank",,,,"An Artpress Book, [NY], 1982. Abbott, Berenice (illustrator). Deluxe Limited edition. Folio, 255 pp., over 250 photos. Bound in a deep red raw silk with titling in silver on the upper cover and spine. The spine lettering is partially rubbed, otherwise a fine copy housed in a matching red silk slipcase which is slightly faded. SIGNED by the photographer on the colophon leaf and number. Accompanied with the original SIGNED gelatin silver print. A major retrospective look at this American photographer whose career started as an assistant to Man Ray in Paris, was instrumental in documenting New York City for the WPA, and spanned over 5 decades. This deluxe edition is limited to 420 copies signed by the photographer. This is number 84 of 400 copies accompanied by a 14 x 11 inch [35.6 x 28 cm.] gelatin silver photograph, Designer's Window, Bleeker Street, signed by the photographer beneath the image, mounted on a larger archival board and framed in black wood with plexiglass, 20.5 x 24.5 inches.",NA,,Photography,"Science, NYC, Photography, Photographers, Technology, Architecture",Photography; Individual Photographers; General Monographs,,,"Hudson Street Library, NYC",,$250.00,
Abbott,Berenice,Berenice Abbott: Changing New York,New Press,1997,,399 pages,"illustrated, reprint",978-1565845565,Bonnie Yochelson,,,,,NA,,Photography,"Science, NYC, Photography, Photographers, Technology, Architecture",Photography; Individual Photographers; General Monographs,,,"Hudson Street Library, NYC",,$500.00,
Abbott,Berenice,Exhibition catalogs (Toronto. Art Gallery of Ontario / Toronto. Ryerson Image Centr),Hazan,2012,,223 pages,,978-2754106078,Gaëlle Morel,"Sarah Miller , Jeu de Paume (Paris) , Terri Weissman",,,,NA,,Photography,"Art, Exhibition Catalog, Photography",Photography; Individual Photographers; General Monographs,,,"Hudson Street Library, NYC",,$65.00,
Abbott,Berenice,Paris Portraits,"Steidl/Commerce Graphics, New York (",2016,9.5 x 1.5 x 12 inches,368 pages,,978-3869303147,"Ron Kurtz, Hank O'Neal",,,,"The photographs that launched Abbott's career: portraits of artists and writers in prewar Paris, from Jean Cocteau to James Joyce This is one in a series of books to be published by Steidl that will explore Berenice Abbott’s oeuvre. Abbott began her photographic career in Paris in 1925, taking portraits of some the most celebrated artists and writers of the day, including Marie Laurencin, Jean Cocteau, Peggy Guggenheim, Coco Chanel, Max Ernst, André Gide, Philippe Soupault and James Joyce. Within a year her work was exhibited and acclaimed. Paris Portraits 1925–1930 features the results of Abbott’s earliest photographic project and illustrates the philosophy of all her subsequent work. For this landmark book, 115 portraits of 83 subjects have been scanned from the original glass negatives, which have been printed in full.",NA,https://steidl.de/,Photography,"Paris, Portrait",Photography; Individual Photographers; General Monographs,,,"Hudson Street Library, NYC",,$70.00,/assets/images/covers/9783869303147.jpg
Abenavoli,Masanao,The Movement of Clouds around Mount Fuji,Spector Books,2015,9.5 x 1 x 13.4 inches,"Softcover, 376 pages, 4 lbs",,978-3944669601,,"by Helmut Völter (Photographer), Masanao Abe (Photographer)",,,"In the late 1920s, Japanese physicist Masanao Abe built an observatory with a view of Mount Fuji. From it, over the course of fifteen years, he recorded the clouds that surrounded the mountain. He was interested in the scientific question of how the air currents around Fuji could be visualized by means of film and photography. Albeit unintentionally, Abe’s motifs fit into a long iconographic tradition: the mountain and the clouds. For decades his archive was left untouched in a Tokyo garden shed. Helmut Völter, who discovered Abe’s legacy while working on his book Cloud Studies, sifted through the images of the passionate cineaste who saw a combination of individual images, moving pictures and stereo recordings as the ideal form of scientific evidence. The mere contemplation of these dynamic cloud photographs centring on snow-covered Fuji seems to lift the viewer into the air.",,https://spectorbooks.com/,Photography,"clouds, mountain, earth, time series",Individual Photographer Monograph Photography; Individual Photographers; General Monographs,,,"Hudson Street Library, NYC",,$69.00,/assets/images/covers/9783944669601.jpg
Abenavoli,Valentina,Anaesthesia,AKINA Books,2016,23 × 25 × 6 cm,"Softcover, 212 pages, curated and edited by Valentina Abenavoli, signed, edition of 500 copies. With a text by Veronique Pin Fat.",500 Copies,?978-6000021801,,,Signed,,"Rather than a traditional photo book, Valentina Abenavoli’s “anaesthesia” is a care- and thoughtful recontextualisation of images of war and terror. Words from writers such as T.S. Eliot, Rousseau, Zizek and screenshots from war footage and execution videos are edited and arranged to form an engaging narrative. “Anaesthesia is a lament of several voices, a symphony of the evil in us, cinematically edited screenshots from videos, an engagement with the media, an open criticism to war and terrorism, a declaration of neutrality, an act of rebellion to the ego, where one stands alone prevented to feel anything else beyond his own finitude. Nothing would be more painful than not suffering anymore, dropping the burden of sensations, withdrawing from living and bonding. In the lyricism of the agony of mind, in the longing for a break in the inner solitude, what is more ambiguous than the desire to feel others? When confronted with others, personal pleasure as much as personal pain become absolute and universal. What remains is the love for horror and the horror of love.”",NA,https://akinabooks.com/,,,,,,,,$135.00,
