"id","author_last","author_first","author_full_name","title","publisher","publication_year","height_cm","width_cm","depth_cm","binding","page_count","edition_printrun","isbn_asin","editor","contributors","is_signed_inscribed","designer","description","artist_url","publisher_url","collection_grouping","tags","classification","bisac","lcc","location","accession_no","featured","image_url","price","weight_g","language","num_images","notes","custom_page_url","cataloged_date","collection"
"1743","Shibata","Toshio","Toshio Shibata","One Picture Book Two Vol 52: Lone Pine","Nazraeli Press","2025","21.6","15.2","","Hardcover","16","Limited to 500 numbered copies","9781590056288","","","true","","Documents a summer 2024 California road trip featuring Lone Pine and desert regions, exploring ""the boundary between the dream world and reality"" through landscape photography. Includes 15 four-color plates plus 1 original signed photograph (5x7""). Shibata is known as one of Japan's most respected landscape photographers.","","https://www.nazraeli.com/opb2/toshio-shibata-one-picture-book-two-52-lone-pine","One Picture Book Two","Photography, Landscape, Japan, California, Desert, Limited Edition, Landscape Photography","Photobook","","","Hudson Street Library, NYC","2026-03-18","","/assets/images/books/shibata_toshio_one_picture_book_two_52_lone_pine_9781590056288.jpg","","","English","","One Picture Book Two series #52. Ships mid-March 2025. Includes original signed photograph.","","","art"
"1744","Ikeda","Yoko","Yoko Ikeda","One Picture Book Two Vol 51: Desert Daze","Nazraeli Press","2025","21.6","15.2","","Hardcover","16","Limited to 500 numbered copies","9781590056271","","","true","","California road trip from Los Angeles through Central Coast to Mojave Desert. Film was accidentally fogged during airport x-ray screening, creating an artistic haziness effect that enhances the desert heat wave aesthetic. Includes 16 four-color plates plus 1 original signed photograph (5x7"").","","https://www.nazraeli.com/opb2/yoko-ikeda-one-picture-book-two-51-desert-daze","One Picture Book Two","Photography, Landscape, California, Desert, Film Photography, Limited Edition, Landscape Photography","Photobook","","","Hudson Street Library, NYC","2026-03-18","","/assets/images/books/ikeda_yoko_one_picture_book_two_51_desert_daze_9781590056271.jpg","","","English","","One Picture Book Two series #51. Ships mid-March 2025. Includes original signed photograph. Notable for accidental x-ray fogging creating artistic effect.","","","art"
"1745","Fitch","Steve","Steve Fitch","One Picture Book Two Vol 50: Plywood Signs","Nazraeli Press","2025","21.6","15.2","","Hardcover","16","Limited to 500 numbered copies","9781590056264","","","true","","Explores weathered plywood signs as ""outsider art,"" documenting how environmental deterioration creates compelling visual patterns. Includes 13 four-color plates plus 1 original signed photograph (5x7""). Fitch's work appears in Whitney, SFMOMA, MoMA, Getty, and other major collections.","","https://www.nazraeli.com/opb2/steve-fitch-one-picture-book-two-50-plywood-signs","One Picture Book Two","Photography, Americana, Outsider Art, Vernacular Photography, Limited Edition, Documentary","Photobook","","","Hudson Street Library, NYC","2026-03-18","","/assets/images/books/fitch_steve_one_picture_book_two_50_plywood_signs_9781590056264.jpg","","","English","","One Picture Book Two series #50. Ships mid-March 2025. Includes original signed photograph. Work held in major collections including Whitney, SFMOMA, MoMA, and Getty.","","","art"
"1746","Templeton","Ed","Ed Templeton","One Picture Book Two Vol 49: All Hallows Eve","Nazraeli Press","2025","21.6","15.2","","Hardcover","16","Limited to 500 numbered copies","9781590056257","","","true","","Curated collection of Halloween night photographs spanning multiple decades from Los Angeles, Tokyo, Orange County, London, and Halloween Skate Demos. Includes 20 duotone and four-color plates plus 1 original signed photograph (5x7""). Templeton (b. 1972) is a painter, photographer, and skateboarding Hall of Fame inductee documenting youth subcultures.","","https://www.nazraeli.com/opb2/ed-templeton-one-picture-book-two-49-all-hallows-eve","One Picture Book Two","Photography, Skateboarding, Youth Culture, Halloween, Documentary, Limited Edition","Photobook","","","Hudson Street Library, NYC","2026-03-18","","/assets/images/books/templeton_ed_one_picture_book_two_49_all_hallows_eve_9781590056257.jpg","","","English","","One Picture Book Two series #49. Ships mid-March 2025. Includes original signed photograph. Templeton is a skateboarding Hall of Fame inductee.","","","art"
"1306","Hosoe","Eikoh","Eikoh Hosoe","One Picture Book Two Vol 48 - Kimono","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500 with 5x7 inch original print signed by the artist",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 48: Kimono. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches. A limited edition photography book featuring the work of Eikoh Hosoe.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC","2025-10-20",,"/assets/images/books/hosoe_eikoh_one_picture_book_two_vol_48_kimono_1306.jpg",,,,,,,,"art"
"1308","Divola","John","John Divola","One Picture Book Two Vol 48 - Italian Cars","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500 with 5x7 inch original print signed by the artist",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 48: Italian Cars. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches. A limited edition photography book featuring the work of John Divola.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC","2025-10-20",,"/assets/images/books/divola_john_one_picture_book_two_vol_48_italian_cars_1308.jpg",,,,,,,,"art"
"1307","Casagrande","Benedetta","Benedetta Casagrande","One Picture Book Two Vol 47 - Paperworks","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500 with 5x7 inch original print signed by the artist",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 47: Paperworks. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches. A limited edition photography book featuring the work of Benedetta Casagrande.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC","2025-10-20",,"/assets/images/books/casagrande_benedetta_one_picture_book_two_vol_47_paperworks_1307.jpg",,,,,,,,"art"
"1305","Zadeh","Susan","Susan Zadeh","One Picture Book Two Vol 46 - Susan Zadeh Toer","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500 with 5x7 inch original print signed by the artist",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 46: Toer. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches. A limited edition photography book featuring the work of Susan Zadeh.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC","2025-10-20",,"/assets/images/books/zadeh_susan_one_picture_book_two_vol_46_susan_zadeh_toer_1305.jpg",,,,,,,,"art"
"1310","Sohier","Sage","Sage Sohier","One Picture Book Two Vol 44 - To Utah 85","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 44: To Utah 85. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/sohier_sage_one_picture_book_two_vol_44_to_utah_85_1310.jpg",,,,,,,,"art"
"1311","Dunas","Jeff","Jeff Dunas","One Picture Book Two Vol 43 - Highway 61 to Honeyboy","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 43: Highway 61 to Honeyboy. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/dunas_jeff_one_picture_book_two_vol_43_highway_61_to_honeyboy_1311.jpg",,,,,,,,"art"
"1312","Plumb","Mimi","Mimi Plumb","One Picture Book Two Vol 42 - Lookout on Highway 74","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 42: Lookout on Highway 74. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/plumb_mimi_one_picture_book_two_vol_42_lookout_on_highway_74_1312.jpg",,,,,,,,"art"
"1313","Foglia","Lucas","Lucas Foglia","One Picture Book Two Vol 41 - Living on Lava","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 41: Living on Lava. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/foglia_lucas_one_picture_book_two_vol_41_living_on_lava_1313.jpg",,,,,,,,"art"
"1314","Weems","Carrie Mae","Carrie Mae Weems","One Picture Book Two Vol 40","Nazraeli Press","2025","21.59","15.24","","Hardcover","","Limited Edition of 500","9781590055748","","","false","","Part of the Nazraeli Press One Picture Book Two series, Volume 40: Sea Islands AP. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.","","https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography, Black Photographers","Photobook","","","Hudson Street Library, NYC","","","/assets/images/books/Weems_One_Picture_Book_Two_Vol_40_9781590055748.jpg","","","","","","","","art"
"1315","Moriyama","Daido","Daido Moriyama","One Picture Book Two Vol 39 - Daido Dos","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 39: Daido Dos. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/moriyama_daido_one_picture_book_two_vol_39_daido_dos_1315.jpg",,,,,,,,"art"
"1316","Moriyama","Daido","Daido Moriyama","One Picture Book Two Vol 38 - Daido Uno","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 38: Daido Uno. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/moriyama_daido_one_picture_book_two_vol_38_daido_uno_1316.jpg",,,,,,,,"art"
"1317","Marcuse","Tanya","Tanya Marcuse","One Picture Book Two Vol 37 - Portent","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 37: Portent. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/marcuse_tanya_one_picture_book_two_vol_37_portent_1317.jpg",,,,,,,,"art"
"1318","Lax","Maria","Maria Lax","One Picture Book Two Vol 36 - Taken by the Tide","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 36: Taken by the Tide. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/lax_maria_one_picture_book_two_vol_36_taken_by_the_tide_1318.jpg",,,,,,,,"art"
"1319","Ehrlich","Richard","Richard Ehrlich","One Picture Book Two Vol 35 - Namibia Redux","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 35: Namibia Redux. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photobook",,,"Hudson Street Library, NYC",,,"/assets/images/books/ehrlich_richard_one_picture_book_two_vol_35_namibia_redux_1319.jpg",,,,,,,,"art"
