"id","author_last","author_first","author_full_name","title","publisher","publication_year","height_cm","width_cm","depth_cm","binding","page_count","edition_printrun","isbn_asin","editor","contributors","is_signed_inscribed","designer","description","artist_url","publisher_url","collection_grouping","tags","classification","bisac","lcc","location","accession_no","featured","image_url","price","weight_g","language","num_images","notes","custom_page_url"
"1743","Shibata","Toshio","Toshio Shibata","One Picture Book Two Vol 52: Lone Pine","Nazraeli Press","2025","21.6","15.2",,"Hardcover","16","Limited to 500 numbered copies","9781590056288",,,"true",,"Documents a summer 2024 California road trip featuring Lone Pine and desert regions, exploring ""the boundary between the dream world and reality"" through landscape photography. Includes 15 four-color plates plus 1 original signed photograph (5x7""). Shibata is known as one of Japan's most respected landscape photographers.",,"https://www.nazraeli.com/opb2/toshio-shibata-one-picture-book-two-52-lone-pine","One Picture Book Two","Photography, Landscape, Japan, California, Desert, Limited Edition","Photography Landscape Photography",,,"Hudson Street Library, NYC","2026-03-18",,"/assets/images/books/shibata_toshio_one_picture_book_two_52_lone_pine_9781590056288.jpg",,,"English",,"One Picture Book Two series #52. Ships mid-March 2025. Includes original signed photograph.",
"1744","Ikeda","Yoko","Yoko Ikeda","One Picture Book Two Vol 51: Desert Daze","Nazraeli Press","2025","21.6","15.2",,"Hardcover","16","Limited to 500 numbered copies","9781590056271",,,"true",,"California road trip from Los Angeles through Central Coast to Mojave Desert. Film was accidentally fogged during airport x-ray screening, creating an artistic haziness effect that enhances the desert heat wave aesthetic. Includes 16 four-color plates plus 1 original signed photograph (5x7"").",,"https://www.nazraeli.com/opb2/yoko-ikeda-one-picture-book-two-51-desert-daze","One Picture Book Two","Photography, Landscape, California, Desert, Film Photography, Limited Edition","Photography Landscape Photography",,,"Hudson Street Library, NYC","2026-03-18",,"/assets/images/books/ikeda_yoko_one_picture_book_two_51_desert_daze_9781590056271.jpg",,,"English",,"One Picture Book Two series #51. Ships mid-March 2025. Includes original signed photograph. Notable for accidental x-ray fogging creating artistic effect.",
"1745","Fitch","Steve","Steve Fitch","One Picture Book Two Vol 50: Plywood Signs","Nazraeli Press","2025","21.6","15.2",,"Hardcover","16","Limited to 500 numbered copies","9781590056264",,,"true",,"Explores weathered plywood signs as ""outsider art,"" documenting how environmental deterioration creates compelling visual patterns. Includes 13 four-color plates plus 1 original signed photograph (5x7""). Fitch's work appears in Whitney, SFMOMA, MoMA, Getty, and other major collections.",,"https://www.nazraeli.com/opb2/steve-fitch-one-picture-book-two-50-plywood-signs","One Picture Book Two","Photography, Americana, Outsider Art, Vernacular Photography, Limited Edition","Photography Documentary Photography",,,"Hudson Street Library, NYC","2026-03-18",,"/assets/images/books/fitch_steve_one_picture_book_two_50_plywood_signs_9781590056264.jpg",,,"English",,"One Picture Book Two series #50. Ships mid-March 2025. Includes original signed photograph. Work held in major collections including Whitney, SFMOMA, MoMA, and Getty.",
"1746","Templeton","Ed","Ed Templeton","One Picture Book Two Vol 49: All Hallows Eve","Nazraeli Press","2025","21.6","15.2",,"Hardcover","16","Limited to 500 numbered copies","9781590056257",,,"true",,"Curated collection of Halloween night photographs spanning multiple decades from Los Angeles, Tokyo, Orange County, London, and Halloween Skate Demos. Includes 20 duotone and four-color plates plus 1 original signed photograph (5x7""). Templeton (b. 1972) is a painter, photographer, and skateboarding Hall of Fame inductee documenting youth subcultures.",,"https://www.nazraeli.com/opb2/ed-templeton-one-picture-book-two-49-all-hallows-eve","One Picture Book Two","Photography, Skateboarding, Youth Culture, Halloween, Documentary, Limited Edition","Photography Documentary Photography",,,"Hudson Street Library, NYC","2026-03-18",,"/assets/images/books/templeton_ed_one_picture_book_two_49_all_hallows_eve_9781590056257.jpg",,,"English",,"One Picture Book Two series #49. Ships mid-March 2025. Includes original signed photograph. Templeton is a skateboarding Hall of Fame inductee.",
"1306","Hosoe","Eikoh","Eikoh Hosoe","One Picture Book Two Vol 48 - Kimono","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500 with 5x7 inch original print signed by the artist",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 48: Kimono. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches. A limited edition photography book featuring the work of Eikoh Hosoe.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photography Photobooks",,,"Hudson Street Library, NYC","2025-10-20",,,,,,,,
"1308","Divola","John","John Divola","One Picture Book Two Vol 48 - Italian Cars","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500 with 5x7 inch original print signed by the artist",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 48: Italian Cars. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches. A limited edition photography book featuring the work of John Divola.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photography Photobooks",,,"Hudson Street Library, NYC","2025-10-20",,,,,,,,
"1307","Casagrande","Benedetta","Benedetta Casagrande","One Picture Book Two Vol 47 - Paperworks","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500 with 5x7 inch original print signed by the artist",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 47: Paperworks. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches. A limited edition photography book featuring the work of Benedetta Casagrande.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photography Photobooks",,,"Hudson Street Library, NYC","2025-10-20",,,,,,,,
"1305","Zadeh","Susan","Susan Zadeh","One Picture Book Two Vol 46 - Susan Zadeh Toer","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500 with 5x7 inch original print signed by the artist",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 46: Toer. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches. A limited edition photography book featuring the work of Susan Zadeh.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photography Photobooks",,,"Hudson Street Library, NYC","2025-10-20",,,,,,,,
"1310","Sohier","Sage","Sage Sohier","One Picture Book Two Vol 44 - To Utah 85","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 44: To Utah 85. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photography Photobooks",,,"Hudson Street Library, NYC",,,,,,,,,
"1311","Dunas","Jeff","Jeff Dunas","One Picture Book Two Vol 43 - Highway 61 to Honeyboy","Nazraeli Press","2025","21.59","15.24",,"Hardcover",,"Limited Edition of 500",,,,"false",,"Part of the Nazraeli Press One Picture Book Two series, Volume 43: Highway 61 to Honeyboy. Each One Picture Book is limited to 500 numbered copies and includes a removable, signed, original print measuring approximately 5x7 inches.",,"https://www.nazraeli.com","Photography","Limited Edition, Nazraeli Press, One Picture Book, Photography","Photography Photobooks",,,"Hudson Street Library, NYC",,,,,,,,,
