"id","author_last","author_first","author_full_name","title","publisher","publication_year","height_cm","width_cm","depth_cm","binding","page_count","edition_printrun","isbn_asin","editor","contributors","is_signed_inscribed","designer","description","artist_url","publisher_url","collection_grouping","tags","classification","bisac","lcc","location","accession_no","featured","image_url","price","weight_g","language","num_images","notes","custom_page_url","cataloged_date"
"10001","Friedman","William F.","William F. Friedman","Advanced Military Cryptography","Aegean Park Press","1976",,,,"Paperback","113",,"9780894120114",,,,,"<p>A U.S. Army instructional text on cipher and code systems by the cryptologist William F. Friedman, reprinted by Aegean Park Press from Signal Corps training material. It picks up where an introductory volume leaves off, treating transposition and substitution systems at a more advanced level, with particular attention to systems that combine the two.</p><p class=""mt-6"">The text also covers cryptographs and their limitations, and code systems with an emphasis on enciphered codes. A separate section covers cipher machines: their function, the main types in use, and their relative advantages and disadvantages. The material began as Special Text No. 166 in the Army's extension-course curriculum. The Signal Corps revised it across several editions from the 1930s into the 1940s, and Aegean Park Press then issued this civilian reprint.</p><p class=""mt-6"">Friedman wrote it during his long tenure directing the Army's cryptologic training and research. He came to cryptology as a geneticist at George Fabyan's Riverbank Laboratories in Illinois. There he and his wife Elizebeth Smith Friedman turned a private research post into wartime code-breaking work. He founded and led the Army's Signal Intelligence Service starting in 1929, and later directed the team that broke the Japanese PURPLE cipher and helped design the SIGABA cipher machine.</p>",,,"Cryptology","Cryptography, Cryptanalysis, Codes and Ciphers, Military History, Signals Intelligence","Manual",,,"Hudson Street Library, NYC","2026-09-02",,"/assets/images/books/friedman_william_f_advanced-military-cryptography_9780894120114.jpg",,,"English",,"No. 8 in Aegean Park Press's Cryptographic Series per the AbeBooks listing tied to this ISBN, though at least one other bookseller listing cites the same title as No. 7. The series numbering is inconsistently reported across dealers and could not be independently confirmed. Page count also varies by listing (113 vs. 116pp). Some copies of this same ISBN carry a 1996 date on the title/copyright page rather than 1976; both appear to be printings of the same Aegean Park Press edition rather than distinct revisions.",,
"10002","Hitt","Parker","Parker Hitt","Manual for the Solution of Military Ciphers","Aegean Park Press","1976",,,,"Paperback","112",,"9780894120015",,,,,"<p>The first cipher manual issued by the U.S. Army, written by Captain Parker Hitt and originally printed by the Press of the Army Service Schools at Fort Leavenworth in 1916. This Aegean Park Press edition, part of its Cryptographic Series, reprints Hitt's plain, example-driven approach to solving unknown ciphers.</p><p class=""mt-6"">The text opens with Hitt's well-known statement of what solving a cipher demands: perseverance, careful method, intuition, and luck. From there it works through monoalphabetic and polyalphabetic substitution and simple transposition systems, using real intercepted cryptograms of the period. Solutions are explained step by step, with further problems left for the reader to work through.</p><p class=""mt-6"">Hitt was an Army Signal Corps officer and instructor at the Signal School at Fort Leavenworth when he wrote the manual, drawing on his own success solving Mexican revolutionary-era ciphers. His cylindrical cipher device, developed around the same period, was later adapted by Joseph Mauborgne into the M-94 strip cipher issued to the Army and Navy. His sliding-strip variant became the basis for the M-138-A. He served in France with the American Expeditionary Forces during World War I, running AEF coding and decoding, and retired a colonel. He is widely credited as the founder of systematic American military cryptology.</p>",,,"Cryptology","Cryptography, Cryptanalysis, Codes and Ciphers, Military History, World War I","Manual",,,"Hudson Street Library, NYC","2026-09-02",,,,,"English",,"Originally published 1916 by the Press of the Army Service Schools, Fort Leavenworth, Kansas. It was the first cipher manual issued by the U.S. Army. This record describes the 1976 Aegean Park Press reprint; a distinct 1918 second edition of the original also exists (per the cryptobooks.org bibliography, bookid 478) but its bibliographic details could not be confirmed and it is not the edition catalogued here.",,
"10003","Friedman","William F.","William F. Friedman","Cryptography and Cryptanalysis Articles, Volume 1","Aegean Park Press","1976",,,,"Paperback","151",,"9780894120039",,"Marcel Givierge (Contributor); Alf Monge (Contributor); Howell C. Brown (Contributor)",,,"<p>A collection of previously classified cryptology articles from the Army's Signal Corps Bulletin. William F. Friedman gathered and edited them; Aegean Park Press reprinted the set as Volume 1 of two, meant as collateral reading for students of cryptography and cryptanalysis.</p><p class=""mt-6"">This volume contains four articles: Friedman's own ""Cryptanalysis,"" Marcel Givierge's ""Problems of Code,"" Alf Monge's ""Solution of the Playfair Cipher,"" and Howell C. Brown's ""Analysis Versus the Probable Word."" It closes with an appendix of Playfair cipher problems added for the student. It appeared in 1976 as No. 5 in Aegean Park Press's Cryptographic Series; a companion Volume 2 followed as No. 6.</p><p class=""mt-6"">Friedman edited and largely wrote the material collected here during his years directing Army cryptologic training between the world wars. He had come to cryptology as a geneticist at George Fabyan's Riverbank Laboratories, where he and his wife Elizebeth Smith Friedman did wartime code-breaking work. He then joined the Army's Signal Intelligence Service, which he founded and led starting in 1929. His Signal Corps training texts, including these Bulletin articles, shaped how a generation of American cryptanalysts learned the field before Friedman went on to direct the breaking of the Japanese PURPLE cipher.</p>",,,"Cryptology","Cryptography, Cryptanalysis, Codes and Ciphers, Military History, Reference","Monograph",,,"Hudson Street Library, NYC","2026-09-02",,,,,"English",,"No. 5 in Aegean Park Press's Cryptographic Series, per OpenLibrary's cataloguing of this ISBN (""Cryptographic Series, Vol 1, No 5""). The articles originally appeared in the Signal Corps Bulletin and were classified at the time of first publication; Aegean Park's 1976 collection reprints them after declassification. Page count is reported as 151pp by the bookseller record consulted; a separate, apparently unrelated collation note (""iii, [1], 145-317 p."") turned up in other listings and could not be reconciled with this figure, so it is not used here.",,
"10004","Friedman","William F.","William F. Friedman","Cryptography and Cryptanalysis Articles, Volume 2","Aegean Park Press","1976",,,,"Paperback",,,"9780894120046",,,,,"<p>The companion volume to Aegean Park Press's <em>Cryptography and Cryptanalysis Articles, Volume 1</em>: a second gathering of previously classified cryptology articles originally printed in the Army's Signal Corps Bulletin, edited by William F. Friedman and issued in 1976 as No. 6 in the publisher's Cryptographic Series (Volume 1 was No. 5).</p><p class=""mt-6"">Bookseller listings for this volume were found to be inconsistent, several apparently reusing Volume 1's article list and description rather than describing this book's actual contents. No source consulted could be confirmed as describing Volume 2's specific articles independently of that overlap, so this record does not assert which pieces it contains. What can be said with more confidence is the shared premise of the series: the publisher's stated purpose was to collect Signal Corps Bulletin articles on cryptography and cryptanalysis, most previously classified, into single volumes as collateral reading for students of the field.</p>",,,"Cryptology","Cryptography, Cryptanalysis, Codes and Ciphers, Military History, Reference","Monograph",,,"Hudson Street Library, NYC","2026-09-02",,,,,"English",,"No. 6 in Aegean Park Press's Cryptographic Series, per OpenLibrary's cataloguing of this ISBN (""Cryptographic Series, Vol 2, No 6""), continuing directly from Volume 1 (No. 5). The specific articles collected in this volume could not be confirmed: bookseller listings found for it repeated Volume 1's article list and page description rather than giving Volume 2's own contents, which reads as cataloguing cross-contamination between the two volumes rather than an actual description of this book. A collation note of ""iii, [1], 145-317 p."" appeared attached to this title in one listing, which is plausible for a volume continuing Volume 1's pagination, but could not be corroborated by a second independent source, so pages is left null here.",,
"10005","Friedman","William F.","William F. Friedman","The Riverbank Publications, Volume 1","Aegean Park Press","1979",,,,"Paperback","138","Aegean Park Press facsimile reprint (Cryptographic Series, C-23)","9780894120329",,,,,"<p>The Riverbank Publications, Volume 1 gathers the first four of William F. Friedman's foundational monographs on cipher-solving, reprinted in facsimile by Aegean Park Press from pamphlets George Fabyan's Riverbank Laboratories issued between 1917 and 1922.</p><p class=""mt-6"">This volume contains Publication No. 15, A Method of Reconstructing the Primary Alphabet From a Single One of the Series of Secondary Alphabets; No. 16, Methods for the Solution of Running-Key Ciphers; No. 17, An Introduction to Methods for the Solution of Ciphers; and No. 18, Synoptic Tables for the Solution of Ciphers and a Bibliography of Cipher Literature. These were written at Riverbank's Department of Ciphers in Geneva, Illinois. The original printings were short, restricted at the time as wartime material. Friedman used them as his own textbooks when he trained American servicemen in cryptanalysis in 1917. Aegean Park Press later reissued the series as a three-volume set. This volume covers No. 15-18. A second volume reprints No. 19-21. A third reprints No. 22, The Index of Coincidence and Its Applications in Cryptography.</p><p class=""mt-6"">Friedman directed Riverbank's cipher department before moving to the War Department. There he became the US Army's chief cryptologist. He is generally regarded as the central figure in the emergence of American cryptology as a formal discipline. Elizebeth Smith Friedman, his wife and Riverbank colleague, contributed to the department's work over the same years.</p>",,,"Cryptology","Cryptography, Cryptanalysis, Codes and Ciphers, World War I, Military History","Monograph",,,"Hudson Street Library, NYC","2026-09-02",,,,,"English",,"Aegean Park Press's Cryptographic Series reprint, C-23, of the original Riverbank Publications Nos. 15-18 (Riverbank Laboratories, Geneva, Illinois, 1917-1922, printing runs of about 400 copies each). Volume 1 of a three-volume Aegean Park set: Volume 2 reprints Nos. 19-21, Volume 3 reprints No. 22. No cover scan could be confirmed as genuine for this record.",,
"10006","Friedman","William F.","William F. Friedman","Solving German Codes in World War I","Aegean Park Press","1977",,,,"Paperback","152","Aegean Park Press, Cryptographic Series","9780894121180",,,,,"<p>Solving German Codes in World War I is William F. Friedman's technical account of how German code systems, as distinct from cipher systems, were broken during the First World War, reissued by Aegean Park Press with, per its cover, ""an added special code problem for the student.""</p><p class=""mt-6"">The text covers how intercepted messages were prepared for study, the main classes of German code groups and their characteristics, solution by analogy to previously solved material, and the enciphering tables the Germans layered on top of their codebooks to complicate solution. Friedman appends a practice code problem in English so the reader can apply the methods he describes. The German trench codebook Satzbuch 140, reproduced on the cover, is representative of the field codes the text addresses.</p><p class=""mt-6"">Friedman worked on German codebooks as part of the American Expeditionary Forces' intelligence effort in France, building on the cryptanalytic training he had developed at Riverbank Laboratories before the war. He went on to become the US Army's chief cryptologist and one of the principal architects of American cryptology as a discipline.</p>",,,"Cryptology","Cryptography, Cryptanalysis, Codes and Ciphers, World War I, Military History","Monograph",,,"Hudson Street Library, NYC","2026-09-02",,"/assets/images/books/friedman_william_f_solving-german-codes-in-world-war-i_9780894121180.jpg",,,"English",,"Aegean Park Press Cryptographic Series (Laguna Hills, CA). A second Aegean Park edition exists under ISBN 0894120190; this record uses ISBN 9780894121180, the edition documented on Amazon and AbeBooks. Cover subtitle: ""With an Added Special 'Code Problem' for the Student."" Subjects (LOC): World War, 1914-1918 -- Germany -- Cryptography; Cryptography -- Germany.",,
"10007","Barker","Wayne G.","Wayne G. Barker","The History of Codes and Ciphers in the United States Prior to World War I","Aegean Park Press","1978",,,,,"159","Aegean Park Press, Cryptographic Series","9780894120268",,,,,"<p>The History of Codes and Ciphers in the United States Prior to World War I, edited by Wayne G. Barker, opens Aegean Park Press's multi-volume history of American cryptology, tracing the subject from its early roots up to the outbreak of the First World War.</p><p class=""mt-6"">According to the Smithsonian Institution Libraries' catalog record, the book corresponds to Volume 1 of ""Historical Background of the Signal Security Agency."" The Army Security Agency's Historical Section wrote that study in 1946; it was later declassified. Barker's companion volume, The History of Codes and Ciphers in the United States During World War I, continues it as Volume 2. A further volume in the series covers the interwar years, 1919-1929. This volume itself runs 159 pages, with facsimiles and illustrations of period cryptographic material.</p><p class=""mt-6"">Barker founded Aegean Park Press in 1973. He edited a substantial share of its Cryptographic Series, drawing on declassified US government material to document the history of American code-breaking through the Army Security Agency's own internal records.</p>",,,"Cryptology","Cryptography, Codes and Ciphers, Military History, World War I, Reference","Declassified Report",,,"Hudson Street Library, NYC","2026-09-02",,"/assets/images/books/barker_wayne_g_the-history-of-codes-and-ciphers-in-the-united-sta_9780894120268.jpg",,,"English",,"A later Aegean Park printing (1996, ISBN 9780894121043) is catalogued as Cryptographic Series No. 20; this record uses the earlier, 1978 first Aegean Park printing (ISBN 9780894120268). Wayne Barker founded Aegean Park Press in 1973 and edited much of its Cryptographic Series, including this history and its companion volumes on World War I and the interwar years.",,
"10008","Lange","André","André Lange, E.-A. Soudart","Treatise on Cryptography","Aegean Park Press","1981",,,,"Paperback","168","Aegean Park Press, Cryptographic Series (English translation)","9780894120558",,,,,"<p>Treatise on Cryptography is Aegean Park Press's English edition of André Lange and E.-A. Soudart's Traité de Cryptographie, first published in Paris by Librairie Félix Alcan in 1925.</p><p class=""mt-6"">The original French text opens with five chapters tracing the history of cryptography from antiquity to the early twentieth century. It then turns to technical treatment of transposition methods, substitution methods, codes, cryptographic devices, and cipher machines, illustrated with roughly 100 tables and drawings across 366 pages. The Aegean Park edition presents this material in English, not in facsimile French. A Google Books record for the English edition credits the US Office of the Chief of Naval Operations as a contributor. That points to Aegean Park having reprinted an existing US Navy translation of the work, rather than commissioning a new one.</p><p class=""mt-6"">Lange and Soudart's treatise is counted among the standard general studies of cryptography from the interwar period. It sits alongside works such as Givierge's Cours de Cryptographie and Figl's Systeme des Chiffrierens. Together, these shaped cryptology before the rise of machine cryptanalysis.</p>",,,"Cryptology","Cryptography, Cryptanalysis, Codes and Ciphers, Reference","Textbook",,,"Hudson Street Library, NYC","2026-09-02",,,,,"English",,"Aegean Park Press's edition is an English translation of the French Traité de Cryptographie (Paris: Librairie Félix Alcan, 1925), not a facsimile reprint of the French text. A Google Books record for this English edition credits the US Office of the Chief of Naval Operations as a contributor, and a separately listed 1940 leatherbound copy is described as ""Translated by J.J. Pierrepont, assisted by H.H. Handley"" -- consistent with Aegean Park having reprinted that 1940 US Navy translation, though this record could not confirm the translator credit appears on the Aegean Park printing itself. A hardcover Aegean Park printing also exists (ISBN 0894121219, 1982). The source list's ""(No. 36)"" Cryptographic Series designation could not be verified against any source consulted and is not asserted here.",,
"10009","Gyldén","Yves","Yves Gyldén","The Contribution of the Cryptographic Bureaus in the World War","Aegean Park Press","1978",,,,"Hardcover","87",,"9780894120275","William F. Friedman",,"false",,"<p>Yves Gyldén's survey compares the codebreaking organizations of the Allied and Central Powers in the First World War. It was one of the first attempts by a working cryptologist to weigh what each side's cryptographic bureau achieved and where it fell short.</p><p class=""mt-6"">The book was first published in Swedish, in Stockholm in 1931, as Chifferbyråernas insatser i världskriget till lands. An English translation ran in the U.S. Army Signal Corps Bulletin, nos. 75-81, from November 1933 to November 1934. Aegean Park Press then issued it as a standalone volume in its Cryptographic Series. William F. Friedman edited the translation from Swedish and added his own comments to the text.</p><p class=""mt-6"">Gyldén came to cryptology through family connections to the Swedish cipher industry. His father Olof Gyldén helped found the Cryptograph company with engineer Arvid Damm, the firm that later produced the machines associated with Boris Hagelin. Yves Gyldén taught cryptology and cryptanalysis at Swedish military schools and was regarded, through the 1930s, as Sweden's leading authority on the subject.</p>",,,"Cryptology","Cryptography, Cryptanalysis, Codes and Ciphers, Military History, World War I","Monograph",,,"Hudson Street Library, NYC","2026-09-02",,"/assets/images/books/gyldn_yves_the-contribution-of-the-cryptographic-bureaus-in-t_9780894120275.jpg",,,"English",,"Aegean Park Press Cryptographic Series, No. 18. The English translation was first serialized in the U.S. Army Signal Corps Bulletin, nos. 75-81 (November 1933-November 1934), before this standalone edition. The Swedish original, Chifferbyråernas insatser i världskriget till lands, was published in Stockholm in 1931. Binding is recorded inconsistently across booksellers (cloth boards vs. paperback) under this same ISBN; this record follows the hardcover, cloth-over-boards description.",,
"10010","Levitov","Leo","Leo Levitov","Solution of the Voynich Manuscript: A Liturgical Manual for the Endura Rite of the Cathari Heresy, the Cult of Isis","Aegean Park Press","1987",,,,"Paperback","182",,"9780894121487",,,"false",,"<p>Leo Levitov's 1987 book makes a specific claim about the Voynich manuscript, the medieval codex that has resisted every attempted decipherment since its rediscovery in 1912. He argues it is a liturgical manual for the Endura, the Cathar deathbed rite, written in a Flemish-based dialect, and that Catharism itself was a continuation of the ancient cult of Isis.</p><p class=""mt-6"">Levitov lays out his method in the book. He identifies a recurring pattern-word he reads as ISIS and builds a phonetic transliteration of the manuscript's script from it, then offers translated passages to support the liturgical reading. He treats the manuscript's resistance to decipherment as consistent with the Inquisition's near-total destruction of Cathar literature, which he argues left few records to check his reading against.</p><p class=""mt-6"">Voynich manuscript specialists have not accepted this decipherment. Linguist Jacques Guy and researcher Dennis Stallings published detailed critiques in the years after publication, citing the manuscript's later radiocarbon dating, which places it after Catharism's suppression, and the absence of a clear French or Occitan textual signature. The claim is catalogued here as Levitov's argument, not as an established reading of the manuscript.</p>",,,"Cryptology","Voynich Manuscript, Cryptanalysis, Codes and Ciphers, Cryptography","Monograph",,,"Hudson Street Library, NYC","2026-09-02",,"/assets/images/books/levitov_leo_solution-of-the-voynich-manuscript-a-liturgical-ma_9780894121487.jpg",,,"English",,"Levitov's decipherment is not accepted by Voynich manuscript scholarship. Detailed critiques were published by linguist Jacques Guy (""On Levitov's Decipherment of the Voynich Manuscript,"" 1991) and researcher Dennis J. Stallings (1998).",,
