"id","author_last","author_first","author_full_name","title","publisher","publication_year","height_cm","width_cm","depth_cm","binding","page_count","edition_printrun","isbn_asin","editor","contributors","is_signed_inscribed","designer","description","artist_url","publisher_url","collection_grouping","tags","classification","bisac","lcc","location","accession_no","featured","image_url","price","weight_g","language","num_images","notes","custom_page_url","cataloged_date"
"80001","Bacon","Francis","Francis Bacon","Francis Bacon: Study from the Human Body Poster","Gagosian","2026","152.4","101.6",,"Poster",,,,,,"false",,"<p>This oversize poster reproduces <em>Study from the Human Body</em> (1986), one of three late paintings by Francis Bacon shown in the exhibition <em>Francis Bacon</em> at Gagosian's rue de Castiglione gallery in Paris.</p><p class=""mt-6"">The exhibition, on view April 11-May 30, 2026, brought together three major canvases from Bacon's final period and reaffirmed his ties to Paris, where he kept a studio from 1975 to 1987. In the painting, a solitary, contorted figure crouches against a sharp yellow ground while a red arrow points toward its confinement; the yellow recalls a group of paintings Bacon made in 1969, among them a triptych of Lucian Freud.</p><p class=""mt-6"">Bacon (1909-1992) spent his career returning to the human figure, painting distorted bodies and faces charged with psychological intensity. This poster, produced in 2026, carries the imagery of one of his last major statements on that subject.</p>","https://gagosian.com/artists/francis-bacon/","https://gagosianshop.com/products/francis-bacon-study-from-the-human-body-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Painting, Figuration, Paris, Portraiture","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/bacon_francis_study-from-the-human-body-poster_80001.jpg",,,"English",,"Oversize poster (60 x 40 in / 152.4 x 101.6 cm), larger than the standard Gagosian poster format. Produced 2026 for the exhibition Francis Bacon at Gagosian, rue de Castiglione, Paris (April 11-May 30, 2026), which brought together three major late paintings. Bacon died in 1992; described here in the past tense. Reproduces Study from the Human Body (1986), oil, pastel, aerosol paint and dry transfer lettering on canvas, 78 x 58 inches, The Estate of Francis Bacon.",,
"80002","Sze","Sarah","Sarah Sze","Sarah Sze: Feel Free Poster","Gagosian","2026","82.5","50.8",,"Poster",,,,,,"false",,"<p>This poster reproduces a detail from <em>Feel Free</em> (2026), a large-format painting Sarah Sze made for her exhibition <em>Sarah Sze: Feel Free</em> at Gagosian, Beverly Hills.</p><p class=""mt-6"">The exhibition, held January 29-February 28, 2026, paired two immersive video installations with a new series of large-format paintings built from Sze's ongoing redefinition of collage as a spatial and temporal language. The paintings layer glimpses of observed and remembered scenes, produced through repeated fragmentation and reconstruction, into compositions of shifting scale and tempo.</p><p class=""mt-6"">Sze (b. 1969) works across sculpture, painting, drawing, video, and installation, assembling physical and digital fragments into environments that move between the microscopic and the macroscopic. Her paintings extend that practice onto a two-dimensional surface, tracking how memory and perception form under constant media exposure.</p>","https://gagosian.com/artists/sarah-sze/","https://gagosianshop.com/products/sarah-sze-feel-free-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Painting, Collage, Beverly Hills, Multimedia","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/sze_sarah_feel-free-poster_80002.jpg",,,"English",,"Produced 2026 for the exhibition Sarah Sze: Feel Free at Gagosian, Beverly Hills (January 29-February 28, 2026). Reproduces a detail from the painting Feel Free (2026). Companion Sze poster in this catalogue: Rip Tide (id 80004, Gagosian Hong Kong, 2025).",,
"80003","Prince","Richard","Richard Prince","Richard Prince: Canal Zone Poster","Gagosian","2014","99.1","68.6",,"Poster",,,,,,"false",,"<p>This poster reproduces <em>Graduation</em> (2008), a work from Richard Prince's <em>Canal Zone</em> series, produced in 2014 for <em>Richard Prince: Canal Zone</em> at Gagosian's Madison Avenue gallery in New York (May 8–June 14, 2014).</p>
<p class=""mt-6"">The Canal Zone paintings combine paint with photographs appropriated from other photographers' work, most notably Patrick Cariou's images of Rastafarians in Jamaica. The series became the subject of the copyright case Cariou v. Prince, which tested the legal limits of appropriation art. <em>Graduation</em> shows Prince's layering of collaged photographic fragments with loosely painted additions.</p>
<p class=""mt-6"">Prince (b. 1949, Panama Canal Zone) has worked since the late 1970s by rephotographing and recontextualizing images from advertising, pulp fiction, and mass media, questioning the conventions of authorship and originality. Canal Zone remains one of the more contested chapters in that project, and its Gagosian exhibition placed the series within the gallery's long representation of his work.</p>","https://gagosian.com/artists/richard-prince/","https://gagosianshop.com/products/richard-prince-canal-zone-graduation-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Painting, Appropriation Art, New York, Photography","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/prince_richard_canal-zone-poster_80003.jpg",,,"English",,"Exhibition: Richard Prince: Canal Zone, Gagosian, 980 Madison Avenue, New York, May 8–June 14, 2014 (dates confirmed from the poster itself). Poster reproduces Graduation (2008); poster produced 2014. Sold unframed. No signed variant is listed for this title.",,
"80004","Sze","Sarah","Sarah Sze","Sarah Sze: Rip Tide Poster","Gagosian","2025","82.5","50.8",,"Poster",,,,,,"false",,"<p>Sarah Sze made <em>Rip Tide</em> (2025) for <em>Sarah Sze</em>, the exhibition that marked her first show in Asia, at Gagosian, Hong Kong; this poster reproduces a detail from the painting.</p><p class=""mt-6"">The exhibition, on view March 25-May 3, 2025, included new mixed-media paintings alongside a series of hanging sculptures. In <em>Rip Tide</em>, a collaged image of a bird soars over a sweep of pink, orange, and gold paint that echoes a flock of birds rising toward the top of the canvas, part of Sze's recurring interest in motion caught mid-transformation.</p><p class=""mt-6"">Sze (b. 1969) builds paintings, sculptures, and installations from layered images and objects, working between memory and material. In works like this one, recurring imagery surfaces and dissolves across the canvas the way details resurface and fade in memory. This record covers the unsigned poster; Gagosian also sold a version signed by the artist.</p>","https://gagosian.com/artists/sarah-sze/","https://gagosianshop.com/products/sarah-sze-rip-tide-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Painting, Collage, Hong Kong, Mixed Media","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/sze_sarah_rip-tide-poster_80004.jpg",,,"English",,"Produced 2025 for the exhibition Sarah Sze at Gagosian, Hong Kong (March 25-May 3, 2025), the artist's first exhibition in Asia. Reproduces a detail from the painting Rip Tide (2025). Gagosian sold the poster in both unsigned and signed versions; this record is the unsigned poster. Companion Sze poster in this catalogue: Feel Free (id 80002, Gagosian Beverly Hills, 2026).",,
"80005","Picasso","Pablo","Pablo Picasso","Picasso and Marie-Thérèse: L'amour fou Poster","Gagosian","2011","94","68.6",,"Poster",,,,,,"false",,"<p>This poster reproduces Pablo Picasso's <em>Deux femmes enlacées</em> (1936) and was produced in 2011 for the exhibition <em>Picasso and Marie-Thérèse: L'amour fou</em> at Gagosian's West 21st Street gallery in New York.</p>
<p class=""mt-6"">The exhibition was curated by Picasso biographer John Richardson and by art historian Diana Widmaier-Picasso, Marie-Thérèse Walter's granddaughter. It brought together more than eighty paintings, drawings, sculptures, and prints made between 1927 and 1940, tracing Picasso's decade of work inspired by Walter, one of his most important models. The painting reproduced here shows two entwined female figures, a composition tied to the artist's <em>Le Sauvetage</em> series, which depicted Walter's near drowning and rescue.</p>
<p class=""mt-6"">Picasso (1881–1973) painted Walter obsessively between the late 1920s and 1940, moving between tender portraiture and forms bent toward abstraction. The Gagosian exhibition placed this canvas within that sustained body of work rather than presenting it as an isolated image.</p>","https://gagosian.com/artists/pablo-picasso/","https://gagosianshop.com/products/picasso-and-marie-therese-lamour-fou-deux-femmes-enlacees-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Painting, Modern Art, New York, Portraiture","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/picasso_pablo_lamour-fou-poster_80005.jpg",,,"English",,"Poster reproducing Picasso's Deux femmes enlacées (1936), oil, pastel, and charcoal on canvas. Produced for Picasso and Marie-Thérèse: L'amour fou, Gagosian, 522 West 21st Street, New York, April 14–June 25, 2011, curated by John Richardson and Diana Widmaier-Picasso (Marie-Thérèse Walter's granddaughter). The exhibition included over 80 works spanning 1927–1940. Only one (unsigned) variant of this poster was offered; sold unframed.",,
"80006","Prince","Richard","Richard Prince","Richard Prince: High Times Poster","Gagosian","2018","100","68.5",,"Poster",,,,,,"false",,"<p>This poster reproduces <em>Untitled</em> (2017), a painting from Richard Prince's <em>High Times</em> series, made in 2018 for <em>Richard Prince: High Times</em> at Gagosian's West 21st Street gallery in New York (November 1–December 15, 2018).</p>
<p class=""mt-6"">The High Times paintings combine oil stick, acrylic, charcoal, collage, and inkjet on canvas, building crowded fields of invented cartoon-like figures. Reviewing the exhibition for the New York Times, Roberta Smith described the series as a web of cross-references reflecting Prince's habit of mixing fact and fiction across his interests in rock music, collecting, and postwar literature. <em>Untitled</em> (2017) measures 96 × 72 1/2 inches and shares that dense, layered surface.</p>
<p class=""mt-6"">Prince (b. 1949, Panama Canal Zone) has worked since the late 1970s by appropriating and reworking images and personas drawn from American subcultures and mass media. High Times pushed that practice toward invented figuration, building crowded, cartoonish compositions rather than reworking a single found image.</p>","https://gagosian.com/artists/richard-prince/","https://gagosianshop.com/products/richard-prince-high-times-untitled-2017-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Painting, New York, Contemporary Art","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/prince_richard_high-times-poster_80006.jpg",,,"English",,"Exhibition: Richard Prince: High Times, Gagosian, 522 West 21st Street, New York, November 1–December 15, 2018 (dates and painting medium/dimensions confirmed from the poster's own caption, which lists Untitled, 2017, oil stick, acrylic, charcoal, matte medium, collage, and inkjet on canvas, 96 x 72 1/2 inches / 243.8 x 184.2 cm — the artwork's dimensions, distinct from the poster's own dimensions above). Sold unframed. No signed variant is listed for this title.",,
"80007","Prince","Richard","Richard Prince","Richard Prince: Early Photography, 1977–87 Poster","Gagosian","2023","68","85",,"Poster",,,,,,"false",,"<p>This poster reproduces <em>Untitled (Sunset)</em> (1982), a photograph from Richard Prince's early appropriation work, made in 2023 for <em>Richard Prince: Early Photography, 1977–87</em> at Gagosian, Grosvenor Hill, London (October 5–December 22, 2023).</p>
<p class=""mt-6"">The exhibition surveyed the cowboy, girlfriend, and advertisement photographs Prince made by rephotographing images from magazines and advertising, a method he adopted in 1977 that recast questions of authorship and originality. <em>Untitled (Sunset)</em> shows a boy holding a clown puppet, rendered in low-resolution black and white against a red-orange ground that suggests the end of day.</p>
<p class=""mt-6"">Prince (b. 1949, Panama Canal Zone) built his early reputation on this rephotography method, extracting images from their original commercial context and re-presenting them as his own. The 1977–87 photographs remain the foundation for the appropriation strategies he later carried into painting and collage.</p>","https://gagosian.com/artists/richard-prince/","https://gagosianshop.com/products/richard-prince-early-photography-1977-87-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Photography, London, Appropriation Art, Black-and-White Photography","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/prince_richard_early-photography-poster_80007.jpg",,,"English",,"Exhibition: Richard Prince: Early Photography, 1977–87, Gagosian, Grosvenor Hill, London, October 5–December 22, 2023 (dates confirmed from the poster itself). Poster reproduces Untitled (Sunset) (1982); poster produced 2023. Sold unframed. No signed variant is listed for this title.",,
"80008","Prince","Richard","Richard Prince","Richard Prince: Hoods Poster","Gagosian","2022","65","94.9",,"Poster",,,,,,"false",,"<p>This poster reproduces a 1987 photograph of Richard Prince in his Reade Street studio in New York, with several early works from his <em>Hoods</em> series, made in 2022 for <em>Richard Prince: Hoods</em> at Gagosian, 522 West 21st Street, New York (May 10–June 25, 2022).</p>
<p class=""mt-6"">The exhibition was the first to bring together this body of paintings, made using the hoods of muscle cars as supports. The poster is printed in Daytona Orange, a color long associated with muscle cars and motorcycles, tying its production to the material the paintings are built from. The studio photograph is credited to Joseph Coscia Jr.</p>
<p class=""mt-6"">Prince (b. 1949, Panama Canal Zone) began the Hoods series in the 1980s, treating automotive parts as both surface and subject within his broader engagement with American car culture. The 1987 studio photograph documents the series near its origin, decades before the Gagosian exhibition brought it to wider view.</p>","https://gagosian.com/artists/richard-prince/","https://gagosianshop.com/products/richard-prince-hoods-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Painting, New York, Car Culture","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/prince_richard_hoods-poster_80008.jpg",,,"English",,"Exhibition: Richard Prince: Hoods, Gagosian, 522 West 21st Street, New York, May 10–June 25, 2022 (dates confirmed from the poster itself; also tagged Frieze New York 2022 in the product data). This poster reproduces a 1987 photograph of Prince in his Reade Street studio with early Hoods paintings — it does NOT reproduce a painting. Photo credited to Joseph Coscia Jr. Printed in Daytona Orange. Sold unframed. No signed variant is listed for this title.",,
"80009","Twombly","Cy","Cy Twombly","Cy Twombly: A Survey of Photographs, 1954–2011 Poster","Gagosian","2012","83.8","53.3",,"Poster",,,,,,"false",,"<p>This poster reproduces <em>Brushes, Lexington</em> (2008/2009), a photograph by Cy Twombly made for his 2012 exhibition <em>Cy Twombly: A Survey of Photographs, 1954–2011</em>.</p>
<p class=""mt-6"">Gagosian staged the show at once in Beverly Hills, London, and New York. It was the first major survey of Twombly's photographs shown in either the United States or the United Kingdom, tracing nearly six decades of the practice from early black-and-white studies to the large color prints of his last years. <em>Brushes, Lexington</em> is a close, soft-focus view of paintbrushes standing in a jar in the artist's studio, the kind of blurred, intimate image he made repeatedly of his own working spaces.</p>
<p class=""mt-6"">Twombly (1928–2011) took up photography in the early 1950s. He kept at it throughout his career, a private practice alongside his painting and sculpture that he began enlarging on a color copier in the 1990s. The 2012 survey was the first exhibition to present that body of photographs on the same scale as his work in other mediums.</p>","https://gagosian.com/artists/cy-twombly/","https://gagosianshop.com/products/cy-twombly-a-survey-of-photographs-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Photography, Studio Photography","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/twombly_cy_survey-of-photographs-poster_80009.jpg",,,"English",,"Poster reproduces Brushes, Lexington (2008/2009), a photograph, not a painting; produced 2012 for the exhibition A Survey of Photographs, 1954–2011, staged concurrently at Gagosian Beverly Hills (April 27–June 9, 2012), London (September 6–29, 2012), and New York (November 1–December 22, 2012) — the first major exhibition of Twombly's photographs in the US and UK.",,
"80010","Kaphar","Titus","Titus Kaphar","Titus Kaphar: Analogous Colors Poster","Gagosian","2021","91.4","61",,"Poster",,,,,,"false",,"<p>This poster reproduces <em>Analogous Colors</em> (2020), a painting by Titus Kaphar made for the cover of <em>Time</em> magazine's June 15, 2020 issue, accompanied by the artist's own text, ""I cannot sell you this painting.""</p>
<p class=""mt-6"">Gagosian produced the poster in 2021 for <em>Titus Kaphar: From a Tropical Space</em>, an exhibition at the gallery's West 21st Street space in New York. The painting depicts a Black mother holding her child, whose form is left an empty white silhouette; Kaphar made the work and its accompanying text in the days after George Floyd's killing by Minneapolis police, addressing the vulnerability of Black families to violence and loss.</p>
<p class=""mt-6"">Kaphar works across painting, sculpture, and film, often cutting, folding, or erasing sections of his own canvases to question how Western art history has depicted Black subjects. The empty silhouette in <em>Analogous Colors</em> is one instance of that method, applied here to the aftermath of a killing rather than to a historical painting.</p>","https://gagosian.com/artists/titus-kaphar/","https://gagosianshop.com/products/titus-kaphar-analogous-colors-poster","Posters","Art, Posters, Exhibition Poster, Ephemera, Painting, Portraiture, New York, Social Justice","Poster",,,"Hudson Street Library, NYC","2026-09-15",,"/assets/images/books/kaphar_titus_analogous-colors-poster_80010.jpg",,,"English",,"Poster reproducing Titus Kaphar's painting Analogous Colors (2020), produced by Gagosian in 2021 for the exhibition Titus Kaphar: From a Tropical Space at Gagosian, West 21st Street, New York. Analogous Colors was the cover image of the June 15, 2020 issue of Time, accompanied by Kaphar's own text, ""I cannot sell you this painting,"" written in the aftermath of George Floyd's killing by Minneapolis police.",,
